"Severity","ThreadID","Date","Time","Application","Message"
"ERROR","web-0","07/11/2010","15:52:05","","Page /index.cfm [/Users/andrea/dev/www/cfeventmanager/index.cfm] not found
	at railo.runtime.PageSourceImpl.loadPage(PageSourceImpl.java:124):124
	at railo.runtime.functions.other.CreateObject.call(CreateObject.java:35):35
	at com.andreacfm.cfem.test.testsuite_cfm$cf.call(/Users/andrea/dev/www/cfeventmanager/com/andreacfm/cfem/test/testSuite.cfm:4):4
	at railo.runtime.PageContextImpl.doInclude(PageContextImpl.java:676):676
	at railo.runtime.listener.ClassicAppListener._onRequest(ClassicAppListener.java:35):35
	at railo.runtime.listener.MixedAppListener.onRequest(MixedAppListener.java:24):24
	at railo.runtime.PageContextImpl.execute(PageContextImpl.java:1773):1773
	at railo.runtime.engine.CFMLEngineImpl.serviceCFML(CFMLEngineImpl.java:280):280
	at railo.loader.servlet.CFMLServlet.service(CFMLServlet.java:32):32
	at javax.servlet.http.HttpServlet.service(HttpServlet.java:717):717
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:290):290
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:206):206
	at org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:233):233
	at org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:191):191
	at org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:128):128
	at org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:102):102
	at org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:109):109
	at org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:293):293
	at org.apache.jk.server.JkCoyoteHandler.invoke(JkCoyoteHandler.java:190):190
	at org.apache.jk.common.HandlerRequest.invoke(HandlerRequest.java:291):291
	at org.apache.jk.common.ChannelSocket.invoke(ChannelSocket.java:769):769
	at org.apache.jk.common.ChannelSocket.processConnection(ChannelSocket.java:698):698
	at org.apache.jk.common.ChannelSocket$SocketConnection.runIt(ChannelSocket.java:891):891
	at org.apache.tomcat.util.threads.ThreadPool$ControlRunnable.run(ThreadPool.java:690):690
	at java.lang.Thread.run(Thread.java:637):637
"
"ERROR","web-0","07/11/2010","15:54:46","","invalid component definition, can't find coldbox.system.testing.MockBox
	at railo.runtime.component.ComponentLoader.loadComponentImpl(ComponentLoader.java:170):170
	at railo.runtime.PageContextImpl.loadComponent(PageContextImpl.java:2417):2417
	at railo.runtime.functions.other.CreateObject.doComponent(CreateObject.java:134):134
	at railo.runtime.functions.other.CreateObject.call(CreateObject.java:55):55
	at railo.runtime.functions.other.CreateObject.call(CreateObject.java:35):35
	at com.andreacfm.cfem.test.eventmanagertest_cfc$cf.initComponent(/Users/andrea/dev/www/cfeventmanager/com/andreacfm/cfem/test/EventManagerTest.cfc:6):6
	at com.andreacfm.cfem.test.eventmanagertest_cfc$cf.newInstance(/Users/andrea/dev/www/cfeventmanager/com/andreacfm/cfem/test/EventManagerTest.cfc):-1
	at railo.runtime.component.ComponentLoader.initComponent(ComponentLoader.java:339):339
	at railo.runtime.component.ComponentLoader.loadComponentImpl(ComponentLoader.java:220):220
	at railo.runtime.component.ComponentLoader.loadComponentImpl(ComponentLoader.java:151):151
	at railo.runtime.PageContextImpl.loadComponent(PageContextImpl.java:2417):2417
	at railo.runtime.functions.other.CreateObject.doComponent(CreateObject.java:134):134
	at railo.runtime.functions.other.CreateObject.call(CreateObject.java:55):55
	at railo.runtime.functions.other.CreateObject.call(CreateObject.java:35):35
	at mxunit.framework.testsuite_cfc$cf.udfCall1(/Users/andrea/dev/www/cfeventmanager/mxunit/framework/TestSuite.cfc:102):102
	at mxunit.framework.testsuite_cfc$cf.udfCall(/Users/andrea/dev/www/cfeventmanager/mxunit/framework/TestSuite.cfc):-1
	at railo.runtime.type.UDFImpl.implementation(UDFImpl.java:220):220
	at railo.runtime.type.UDFImpl._call(UDFImpl.java:378):378
	at railo.runtime.type.UDFImpl.call(UDFImpl.java:343):343
	at railo.runtime.ComponentImpl._call(ComponentImpl.java:445):445
	at railo.runtime.ComponentImpl._call(ComponentImpl.java:389):389
	at railo.runtime.ComponentImpl.call(ComponentImpl.java:1611):1611
	at railo.runtime.util.VariableUtilImpl.callFunctionWithoutNamedValues(VariableUtilImpl.java:621):621
	at railo.runtime.PageContextImpl.getFunction(PageContextImpl.java:1344):1344
	at com.andreacfm.cfem.test.testsuite_cfm$cf.call(/Users/andrea/dev/www/cfeventmanager/com/andreacfm/cfem/test/testSuite.cfm:6):6
	at railo.runtime.PageContextImpl.doInclude(PageContextImpl.java:676):676
	at railo.runtime.listener.ClassicAppListener._onRequest(ClassicAppListener.java:35):35
	at railo.runtime.listener.MixedAppListener.onRequest(MixedAppListener.java:24):24
	at railo.runtime.PageContextImpl.execute(PageContextImpl.java:1773):1773
	at railo.runtime.engine.CFMLEngineImpl.serviceCFML(CFMLEngineImpl.java:280):280
	at railo.loader.servlet.CFMLServlet.service(CFMLServlet.java:32):32
	at javax.servlet.http.HttpServlet.service(HttpServlet.java:717):717
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:290):290
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:206):206
	at org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:233):233
	at org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:191):191
	at org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:128):128
	at org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:102):102
	at org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:109):109
	at org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:293):293
	at org.apache.jk.server.JkCoyoteHandler.invoke(JkCoyoteHandler.java:190):190
	at org.apache.jk.common.HandlerRequest.invoke(HandlerRequest.java:291):291
	at org.apache.jk.common.ChannelSocket.invoke(ChannelSocket.java:769):769
	at org.apache.jk.common.ChannelSocket.processConnection(ChannelSocket.java:698):698
	at org.apache.jk.common.ChannelSocket$SocketConnection.runIt(ChannelSocket.java:891):891
	at org.apache.tomcat.util.threads.ThreadPool$ControlRunnable.run(ThreadPool.java:690):690
	at java.lang.Thread.run(Thread.java:637):637
"
"ERROR","web-0","07/11/2010","15:57:20","","invalid component definition, can't find coldbox.system.testing.MockBox
	at railo.runtime.component.ComponentLoader.loadComponentImpl(ComponentLoader.java:170):170
	at railo.runtime.PageContextImpl.loadComponent(PageContextImpl.java:2417):2417
	at railo.runtime.functions.other.CreateObject.doComponent(CreateObject.java:134):134
	at railo.runtime.functions.other.CreateObject.call(CreateObject.java:55):55
	at railo.runtime.functions.other.CreateObject.call(CreateObject.java:35):35
	at com.andreacfm.cfem.test.eventmanagertest_cfc$cf.initComponent(/Users/andrea/dev/www/cfeventmanager/com/andreacfm/cfem/test/EventManagerTest.cfc:6):6
	at com.andreacfm.cfem.test.eventmanagertest_cfc$cf.newInstance(/Users/andrea/dev/www/cfeventmanager/com/andreacfm/cfem/test/EventManagerTest.cfc):-1
	at railo.runtime.component.ComponentLoader.initComponent(ComponentLoader.java:339):339
	at railo.runtime.component.ComponentLoader.loadComponentImpl(ComponentLoader.java:220):220
	at railo.runtime.component.ComponentLoader.loadComponentImpl(ComponentLoader.java:83):83
	at railo.runtime.PageContextImpl.loadComponent(PageContextImpl.java:2417):2417
	at railo.runtime.functions.other.CreateObject.doComponent(CreateObject.java:134):134
	at railo.runtime.functions.other.CreateObject.call(CreateObject.java:55):55
	at railo.runtime.functions.other.CreateObject.call(CreateObject.java:35):35
	at mxunit.framework.testsuite_cfc$cf.udfCall1(/Users/andrea/dev/www/cfeventmanager/mxunit/framework/TestSuite.cfc:102):102
	at mxunit.framework.testsuite_cfc$cf.udfCall(/Users/andrea/dev/www/cfeventmanager/mxunit/framework/TestSuite.cfc):-1
	at railo.runtime.type.UDFImpl.implementation(UDFImpl.java:220):220
	at railo.runtime.type.UDFImpl._call(UDFImpl.java:378):378
	at railo.runtime.type.UDFImpl.call(UDFImpl.java:343):343
	at railo.runtime.ComponentImpl._call(ComponentImpl.java:445):445
	at railo.runtime.ComponentImpl._call(ComponentImpl.java:389):389
	at railo.runtime.ComponentImpl.call(ComponentImpl.java:1611):1611
	at railo.runtime.util.VariableUtilImpl.callFunctionWithoutNamedValues(VariableUtilImpl.java:621):621
	at railo.runtime.PageContextImpl.getFunction(PageContextImpl.java:1344):1344
	at com.andreacfm.cfem.test.testsuite_cfm$cf.call(/Users/andrea/dev/www/cfeventmanager/com/andreacfm/cfem/test/testSuite.cfm:6):6
	at railo.runtime.PageContextImpl.doInclude(PageContextImpl.java:676):676
	at railo.runtime.listener.ClassicAppListener._onRequest(ClassicAppListener.java:35):35
	at railo.runtime.listener.MixedAppListener.onRequest(MixedAppListener.java:24):24
	at railo.runtime.PageContextImpl.execute(PageContextImpl.java:1773):1773
	at railo.runtime.engine.CFMLEngineImpl.serviceCFML(CFMLEngineImpl.java:280):280
	at railo.loader.servlet.CFMLServlet.service(CFMLServlet.java:32):32
	at javax.servlet.http.HttpServlet.service(HttpServlet.java:717):717
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:290):290
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:206):206
	at org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:233):233
	at org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:191):191
	at org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:128):128
	at org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:102):102
	at org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:109):109
	at org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:293):293
	at org.apache.jk.server.JkCoyoteHandler.invoke(JkCoyoteHandler.java:190):190
	at org.apache.jk.common.HandlerRequest.invoke(HandlerRequest.java:291):291
	at org.apache.jk.common.ChannelSocket.invoke(ChannelSocket.java:769):769
	at org.apache.jk.common.ChannelSocket.processConnection(ChannelSocket.java:698):698
	at org.apache.jk.common.ChannelSocket$SocketConnection.runIt(ChannelSocket.java:891):891
	at org.apache.tomcat.util.threads.ThreadPool$ControlRunnable.run(ThreadPool.java:690):690
	at java.lang.Thread.run(Thread.java:637):637
"
"ERROR","web-0","07/11/2010","15:57:24","","invalid component definition, can't find coldbox.system.testing.MockBox
	at railo.runtime.component.ComponentLoader.loadComponentImpl(ComponentLoader.java:170):170
	at railo.runtime.PageContextImpl.loadComponent(PageContextImpl.java:2417):2417
	at railo.runtime.functions.other.CreateObject.doComponent(CreateObject.java:134):134
	at railo.runtime.functions.other.CreateObject.call(CreateObject.java:55):55
	at railo.runtime.functions.other.CreateObject.call(CreateObject.java:35):35
	at com.andreacfm.cfem.test.eventmanagertest_cfc$cf.initComponent(/Users/andrea/dev/www/cfeventmanager/com/andreacfm/cfem/test/EventManagerTest.cfc:6):6
	at com.andreacfm.cfem.test.eventmanagertest_cfc$cf.newInstance(/Users/andrea/dev/www/cfeventmanager/com/andreacfm/cfem/test/EventManagerTest.cfc):-1
	at railo.runtime.component.ComponentLoader.initComponent(ComponentLoader.java:339):339
	at railo.runtime.component.ComponentLoader.loadComponentImpl(ComponentLoader.java:220):220
	at railo.runtime.component.ComponentLoader.loadComponentImpl(ComponentLoader.java:83):83
	at railo.runtime.PageContextImpl.loadComponent(PageContextImpl.java:2417):2417
	at railo.runtime.functions.other.CreateObject.doComponent(CreateObject.java:134):134
	at railo.runtime.functions.other.CreateObject.call(CreateObject.java:55):55
	at railo.runtime.functions.other.CreateObject.call(CreateObject.java:35):35
	at mxunit.framework.testsuite_cfc$cf.udfCall1(/Users/andrea/dev/www/cfeventmanager/mxunit/framework/TestSuite.cfc:102):102
	at mxunit.framework.testsuite_cfc$cf.udfCall(/Users/andrea/dev/www/cfeventmanager/mxunit/framework/TestSuite.cfc):-1
	at railo.runtime.type.UDFImpl.implementation(UDFImpl.java:220):220
	at railo.runtime.type.UDFImpl._call(UDFImpl.java:378):378
	at railo.runtime.type.UDFImpl.call(UDFImpl.java:343):343
	at railo.runtime.ComponentImpl._call(ComponentImpl.java:445):445
	at railo.runtime.ComponentImpl._call(ComponentImpl.java:389):389
	at railo.runtime.ComponentImpl.call(ComponentImpl.java:1611):1611
	at railo.runtime.util.VariableUtilImpl.callFunctionWithoutNamedValues(VariableUtilImpl.java:621):621
	at railo.runtime.PageContextImpl.getFunction(PageContextImpl.java:1344):1344
	at com.andreacfm.cfem.test.testsuite_cfm$cf.call(/Users/andrea/dev/www/cfeventmanager/com/andreacfm/cfem/test/testSuite.cfm:6):6
	at railo.runtime.PageContextImpl.doInclude(PageContextImpl.java:676):676
	at railo.runtime.listener.ClassicAppListener._onRequest(ClassicAppListener.java:35):35
	at railo.runtime.listener.MixedAppListener.onRequest(MixedAppListener.java:24):24
	at railo.runtime.PageContextImpl.execute(PageContextImpl.java:1773):1773
	at railo.runtime.engine.CFMLEngineImpl.serviceCFML(CFMLEngineImpl.java:280):280
	at railo.loader.servlet.CFMLServlet.service(CFMLServlet.java:32):32
	at javax.servlet.http.HttpServlet.service(HttpServlet.java:717):717
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:290):290
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:206):206
	at org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:233):233
	at org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:191):191
	at org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:128):128
	at org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:102):102
	at org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:109):109
	at org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:293):293
	at org.apache.jk.server.JkCoyoteHandler.invoke(JkCoyoteHandler.java:190):190
	at org.apache.jk.common.HandlerRequest.invoke(HandlerRequest.java:291):291
	at org.apache.jk.common.ChannelSocket.invoke(ChannelSocket.java:769):769
	at org.apache.jk.common.ChannelSocket.processConnection(ChannelSocket.java:698):698
	at org.apache.jk.common.ChannelSocket$SocketConnection.runIt(ChannelSocket.java:891):891
	at org.apache.tomcat.util.threads.ThreadPool$ControlRunnable.run(ThreadPool.java:690):690
	at java.lang.Thread.run(Thread.java:637):637
"
"ERROR","web-0","07/11/2010","15:58:37","","variable [DEBUGARRAYWRAPPER] doesn't exist
	at railo.runtime.type.scope.UndefinedImpl.getCollection(UndefinedImpl.java:390):390
	at mxunit.framework.testcase_cfc$cf.udfCall3(/Users/andrea/dev/www/cfeventmanager/mxunit/framework/TestCase.cfc:320):320
	at mxunit.framework.testcase_cfc$cf.udfCall(/Users/andrea/dev/www/cfeventmanager/mxunit/framework/TestCase.cfc):-1
	at railo.runtime.type.UDFImpl.implementation(UDFImpl.java:220):220
	at railo.runtime.type.UDFImpl._call(UDFImpl.java:378):378
	at railo.runtime.type.UDFImpl.call(UDFImpl.java:343):343
	at railo.runtime.ComponentImpl._call(ComponentImpl.java:445):445
	at railo.runtime.ComponentImpl._call(ComponentImpl.java:389):389
	at railo.runtime.ComponentImpl.call(ComponentImpl.java:1611):1611
	at railo.runtime.util.VariableUtilImpl.callFunctionWithoutNamedValues(VariableUtilImpl.java:621):621
	at railo.runtime.PageContextImpl.getFunction(PageContextImpl.java:1344):1344
	at mxunit.framework.testsuiterunner_cfc$cf.udfCall1(/Users/andrea/dev/www/cfeventmanager/mxunit/framework/TestSuiteRunner.cfc:121):121
	at mxunit.framework.testsuiterunner_cfc$cf.udfCall(/Users/andrea/dev/www/cfeventmanager/mxunit/framework/TestSuiteRunner.cfc):-1
	at railo.runtime.type.UDFImpl.implementation(UDFImpl.java:220):220
	at railo.runtime.type.UDFImpl._call(UDFImpl.java:378):378
	at railo.runtime.type.UDFImpl.call(UDFImpl.java:343):343
	at railo.runtime.util.VariableUtilImpl.callFunctionWithoutNamedValues(VariableUtilImpl.java:626):626
	at railo.runtime.PageContextImpl.getFunction(PageContextImpl.java:1344):1344
	at mxunit.framework.testsuiterunner_cfc$cf.udfCall1(/Users/andrea/dev/www/cfeventmanager/mxunit/framework/TestSuiteRunner.cfc:48):48
	at mxunit.framework.testsuiterunner_cfc$cf.udfCall(/Users/andrea/dev/www/cfeventmanager/mxunit/framework/TestSuiteRunner.cfc):-1
	at railo.runtime.type.UDFImpl.implementation(UDFImpl.java:220):220
	at railo.runtime.type.UDFImpl._call(UDFImpl.java:378):378
	at railo.runtime.type.UDFImpl.call(UDFImpl.java:343):343
	at railo.runtime.ComponentImpl._call(ComponentImpl.java:445):445
	at railo.runtime.ComponentImpl._call(ComponentImpl.java:389):389
	at railo.runtime.ComponentImpl.call(ComponentImpl.java:1611):1611
	at railo.runtime.util.VariableUtilImpl.callFunctionWithoutNamedValues(VariableUtilImpl.java:621):621
	at railo.runtime.PageContextImpl.getFunction(PageContextImpl.java:1344):1344
	at mxunit.framework.testsuite_cfc$cf.udfCall1(/Users/andrea/dev/www/cfeventmanager/mxunit/framework/TestSuite.cfc:125):125
	at mxunit.framework.testsuite_cfc$cf.udfCall(/Users/andrea/dev/www/cfeventmanager/mxunit/framework/TestSuite.cfc):-1
	at railo.runtime.type.UDFImpl.implementation(UDFImpl.java:220):220
	at railo.runtime.type.UDFImpl._call(UDFImpl.java:378):378
	at railo.runtime.type.UDFImpl.call(UDFImpl.java:343):343
	at railo.runtime.ComponentImpl._call(ComponentImpl.java:445):445
	at railo.runtime.ComponentImpl._call(ComponentImpl.java:389):389
	at railo.runtime.ComponentImpl.call(ComponentImpl.java:1611):1611
	at railo.runtime.util.VariableUtilImpl.callFunctionWithoutNamedValues(VariableUtilImpl.java:621):621
	at railo.runtime.PageContextImpl.getFunction(PageContextImpl.java:1344):1344
	at com.andreacfm.cfem.test.testsuite_cfm$cf.call(/Users/andrea/dev/www/cfeventmanager/com/andreacfm/cfem/test/testSuite.cfm:9):9
	at railo.runtime.PageContextImpl.doInclude(PageContextImpl.java:676):676
	at railo.runtime.listener.ClassicAppListener._onRequest(ClassicAppListener.java:35):35
	at railo.runtime.listener.MixedAppListener.onRequest(MixedAppListener.java:24):24
	at railo.runtime.PageContextImpl.execute(PageContextImpl.java:1773):1773
	at railo.runtime.engine.CFMLEngineImpl.serviceCFML(CFMLEngineImpl.java:280):280
	at railo.loader.servlet.CFMLServlet.service(CFMLServlet.java:32):32
	at javax.servlet.http.HttpServlet.service(HttpServlet.java:717):717
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:290):290
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:206):206
	at org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:233):233
	at org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:191):191
	at org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:128):128
	at org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:102):102
	at org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:109):109
	at org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:293):293
	at org.apache.jk.server.JkCoyoteHandler.invoke(JkCoyoteHandler.java:190):190
	at org.apache.jk.common.HandlerRequest.invoke(HandlerRequest.java:291):291
	at org.apache.jk.common.ChannelSocket.invoke(ChannelSocket.java:769):769
	at org.apache.jk.common.ChannelSocket.processConnection(ChannelSocket.java:698):698
	at org.apache.jk.common.ChannelSocket$SocketConnection.runIt(ChannelSocket.java:891):891
	at org.apache.tomcat.util.threads.ThreadPool$ControlRunnable.run(ThreadPool.java:690):690
	at java.lang.Thread.run(Thread.java:637):637
"
"ERROR","web-0","07/11/2010","16:08:37","","variable [CFCATCH] doesn't exist
	at railo.runtime.type.scope.UndefinedImpl.getCollection(UndefinedImpl.java:390):390
	at mxunit.framework.testsuiterunner_cfc$cf.udfCall2(/Users/andrea/dev/www/cfeventmanager/mxunit/framework/TestSuiteRunner.cfc:195):195
	at mxunit.framework.testsuiterunner_cfc$cf.udfCall(/Users/andrea/dev/www/cfeventmanager/mxunit/framework/TestSuiteRunner.cfc):-1
	at railo.runtime.type.UDFImpl.implementation(UDFImpl.java:220):220
	at railo.runtime.type.UDFImpl._call(UDFImpl.java:378):378
	at railo.runtime.type.UDFImpl.call(UDFImpl.java:343):343
	at railo.runtime.util.VariableUtilImpl.callFunctionWithoutNamedValues(VariableUtilImpl.java:626):626
	at railo.runtime.PageContextImpl.getFunction(PageContextImpl.java:1344):1344
	at mxunit.framework.testsuiterunner_cfc$cf.udfCall1(/Users/andrea/dev/www/cfeventmanager/mxunit/framework/TestSuiteRunner.cfc:108):108
	at mxunit.framework.testsuiterunner_cfc$cf.udfCall(/Users/andrea/dev/www/cfeventmanager/mxunit/framework/TestSuiteRunner.cfc):-1
	at railo.runtime.type.UDFImpl.implementation(UDFImpl.java:220):220
	at railo.runtime.type.UDFImpl._call(UDFImpl.java:378):378
	at railo.runtime.type.UDFImpl.call(UDFImpl.java:343):343
	at railo.runtime.util.VariableUtilImpl.callFunctionWithoutNamedValues(VariableUtilImpl.java:626):626
	at railo.runtime.PageContextImpl.getFunction(PageContextImpl.java:1344):1344
	at mxunit.framework.testsuiterunner_cfc$cf.udfCall1(/Users/andrea/dev/www/cfeventmanager/mxunit/framework/TestSuiteRunner.cfc:48):48
	at mxunit.framework.testsuiterunner_cfc$cf.udfCall(/Users/andrea/dev/www/cfeventmanager/mxunit/framework/TestSuiteRunner.cfc):-1
	at railo.runtime.type.UDFImpl.implementation(UDFImpl.java:220):220
	at railo.runtime.type.UDFImpl._call(UDFImpl.java:378):378
	at railo.runtime.type.UDFImpl.call(UDFImpl.java:343):343
	at railo.runtime.ComponentImpl._call(ComponentImpl.java:445):445
	at railo.runtime.ComponentImpl._call(ComponentImpl.java:389):389
	at railo.runtime.ComponentImpl.call(ComponentImpl.java:1611):1611
	at railo.runtime.util.VariableUtilImpl.callFunctionWithoutNamedValues(VariableUtilImpl.java:621):621
	at railo.runtime.PageContextImpl.getFunction(PageContextImpl.java:1344):1344
	at mxunit.framework.testsuite_cfc$cf.udfCall1(/Users/andrea/dev/www/cfeventmanager/mxunit/framework/TestSuite.cfc:125):125
	at mxunit.framework.testsuite_cfc$cf.udfCall(/Users/andrea/dev/www/cfeventmanager/mxunit/framework/TestSuite.cfc):-1
	at railo.runtime.type.UDFImpl.implementation(UDFImpl.java:220):220
	at railo.runtime.type.UDFImpl._call(UDFImpl.java:378):378
	at railo.runtime.type.UDFImpl.call(UDFImpl.java:343):343
	at railo.runtime.ComponentImpl._call(ComponentImpl.java:445):445
	at railo.runtime.ComponentImpl._call(ComponentImpl.java:389):389
	at railo.runtime.ComponentImpl.call(ComponentImpl.java:1611):1611
	at railo.runtime.util.VariableUtilImpl.callFunctionWithoutNamedValues(VariableUtilImpl.java:621):621
	at railo.runtime.PageContextImpl.getFunction(PageContextImpl.java:1344):1344
	at com.andreacfm.cfem.test.testsuite_cfm$cf.call(/Users/andrea/dev/www/cfeventmanager/com/andreacfm/cfem/test/testSuite.cfm:9):9
	at railo.runtime.PageContextImpl.doInclude(PageContextImpl.java:676):676
	at railo.runtime.listener.ClassicAppListener._onRequest(ClassicAppListener.java:35):35
	at railo.runtime.listener.MixedAppListener.onRequest(MixedAppListener.java:24):24
	at railo.runtime.PageContextImpl.execute(PageContextImpl.java:1773):1773
	at railo.runtime.engine.CFMLEngineImpl.serviceCFML(CFMLEngineImpl.java:280):280
	at railo.loader.servlet.CFMLServlet.service(CFMLServlet.java:32):32
	at javax.servlet.http.HttpServlet.service(HttpServlet.java:717):717
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:290):290
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:206):206
	at org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:233):233
	at org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:191):191
	at org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:128):128
	at org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:102):102
	at org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:109):109
	at org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:293):293
	at org.apache.jk.server.JkCoyoteHandler.invoke(JkCoyoteHandler.java:190):190
	at org.apache.jk.common.HandlerRequest.invoke(HandlerRequest.java:291):291
	at org.apache.jk.common.ChannelSocket.invoke(ChannelSocket.java:769):769
	at org.apache.jk.common.ChannelSocket.processConnection(ChannelSocket.java:698):698
	at org.apache.jk.common.ChannelSocket$SocketConnection.runIt(ChannelSocket.java:891):891
	at org.apache.tomcat.util.threads.ThreadPool$ControlRunnable.run(ThreadPool.java:690):690
	at java.lang.Thread.run(Thread.java:637):637
"
"ERROR","web-0","07/11/2010","16:13:34","","variable [CFCATCH] doesn't exist
	at railo.runtime.type.scope.UndefinedImpl.getCollection(UndefinedImpl.java:390):390
